Game Number,Target Number,Number of Solutions,Execution Time
1,316,122,15.31
2,112,313,16.01
3,228,139,15.18
4,832,0,15.93
5,523,22,16.36
6,628,31,15.38
7,270,112,16.41
8,832,58,15.60
9,856,17,15.02
10,371,26,15.90
11,840,12,15.26
12,727,0,15.75
13,566,0,15.03
14,304,33,15.47
15,311,56,16.26
16,336,28,15.92
17,609,110,15.80
18,663,8,15.66
19,622,34,15.80
20,630,105,15.90
21,251,58,15.43
22,354,72,15.94
23,509,4,16.27
24,130,191,15.45
25,238,52,16.26
26,743,17,15.20
27,473,10,16.21
28,586,4,15.98
29,614,32,16.20
30,514,26,15.96
